Publication,Location,Precipitation,GDD,Yield,Location_2
"Adler et al., 2006","Rock Springs, PA",56.3,2587.5,6.69,NOTNS
"Adler et al., 2006","Rock Springs, PA",60.8,2862.5,6.95,NOTNS
"Adler et al., 2006","Rock Springs, PA",93.6,2680.6,7.02,NOTNS
"Adler et al., 2006","Ligonier, PA",66.8,2411.4,2.87,NOTNS
"Adler et al., 2006","Ligonier, PA",85.9,2146.9,5.07,NOTNS
"Casler and Boe, 2003","Brookings, SD",410.2,2103,3.87,NOTNS
"Casler and Boe, 2003","Brookings, SD",466.3,2034.9,4.74,NOTNS
"Casler and Boe, 2003","Brookings, SD",424.2,2689.7,4.13,NOTNS
"Casler and Boe, 2003","Brookings, SD",458.7,2713.3,3.92,NOTNS
"Casler and Boe, 2003","Arlington, WI",754.1,2268.3,8.59,NOTNS
"Casler and Boe, 2003","Arlington, WI",607.3,2160.4,10.62,NOTNS
"Casler and Boe, 2003","Arlington, WI",802.1,2138.8,12.3,NOTNS
"Casler and Boe, 2003","Arlington, WI",718.1,2197.6,13.57,NOTNS
"Casler et al., 2004","Stillwater, OK",509.016,3253.7,10.45,NOTNS
"Casler et al., 2004","Stillwater, OK",509.016,3253.7,12.62,NOTNS
"Casler et al., 2004","Stillwater, OK",509.016,3253.7,14.81,NOTNS
"Casler et al., 2004","Stillwater, OK",509.016,3253.7,15.13,NOTNS
"Casler et al., 2004","Manhattan, KS",530.733,2816.5,7.05,NOTNS
"Casler et al., 2004","Manhattan, KS",530.733,2816.5,7.96,NOTNS
"Casler et al., 2004","Manhattan, KS",530.733,2816.5,10.28,NOTNS
"Casler et al., 2004","Manhattan, KS",530.733,2816.5,9.26,NOTNS
"Casler et al., 2004","Mead, NE",539.496,2445.8,12.71,NOTNS
"Casler et al., 2004","Mead, NE",539.496,2445.8,14.99,NOTNS
"Casler et al., 2004","Mead, NE",539.496,2445.8,20.93,NOTNS
"Casler et al., 2004","Mead, NE",539.496,2445.8,17.46,NOTNS
"Casler et al., 2004","Arlington, WI",677.926,2199.3,10.25,NOTNS
"Casler et al., 2004","Arlington, WI",677.926,2199.3,11.44,NOTNS
"Casler et al., 2004","Arlington, WI",677.926,2199.3,10.61,NOTNS
"Casler et al., 2004","Arlington, WI",677.926,2199.3,6.46,NOTNS
"Casler et al., 2004","Spooner, WI",668.147,2000.7,7.33,NOTNS
"Casler et al., 2004","Spooner, WI",668.147,2000.7,7.39,NOTNS
"Casler et al., 2004","Spooner, WI",668.147,2000.7,4.6,NOTNS
"Casler et al., 2004","Spooner, WI",668.147,2000.7,3.81,NOTNS
"Fike et al., 2006","Princeton, KY",625,3445.2,12.7,NOTNS
"Fike et al., 2006","Jackson, TN",643,3723.9,11.3,NOTNS
"Fike et al., 2006","Morgantown, WV",732,2913.8,14.5,NOTNS
"Fike et al., 2006","Knoxville, TN",600,3311.6,18.7,NOTNS
"Fike et al., 2006","Blacksburg, VA A",524,2682.9,11,NOTNS
